""_id","_labels","Duplex","comuna","desc_conexion","es_modular","estado_puerto","fabricante","host_puerto_id","hostname","ip_gestion","link_id","modelo","modo","num_puertos_conect","num_puertos_totales","owner_switch","puerto_id","region","remote_hostname","role","serial_number","tipo","tipo_puerto","ubicacion","velocidad","vlan","_start","_end","_type"
"73",":Puerto","full","","OCC4 eno5","","activo","","CH-SW-02-LRY_Ethernet1/3","OCC4","","LNK:CH-SW-02-LRY:Ethernet1/3__OCC4","","access","","","CH-SW-02-LRY","Ethernet1/3","","OCC4","","","","físico","","1000.0","655",,,
"74",":Puerto","full","","OCC4 eno6","","activo","","CH-SW-02-LRY_Ethernet1/4","OCC4","","LNK:CH-SW-02-LRY:Ethernet1/4__OCC4","","access","","","CH-SW-02-LRY","Ethernet1/4","","OCC4","","","","físico","","1000.0","662",,,
"75",":Puerto","full","","OCC4 eno7","","activo","","CH-SW-02-LRY_Ethernet1/5","OCC4","","LNK:CH-SW-02-LRY:Ethernet1/5__OCC4","","access","","","CH-SW-02-LRY","Ethernet1/5","","OCC4","","","","físico","","1000.0","661",,,
"76",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/6","","","","","","","","CH-SW-02-LRY","Ethernet1/6","","","","","","físico","","","",,,
"77",":Puerto","full","","Conexion a SDPDOR7A / Payload","","activo","","CH-SW-02-LRY_Ethernet1/7","SDPDOR7A","","LNK:CH-SW-02-LRY:Ethernet1/7__SDPDOR7A","","access","","","CH-SW-02-LRY","Ethernet1/7","","SDPDOR7A","","","","físico","","100.0","655",,,
"78",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/8","","","","","","","","CH-SW-02-LRY","Ethernet1/8","","","","","","físico","","","",,,
"79",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/9","","","","","","","","CH-SW-02-LRY","Ethernet1/9","","","","","","físico","","","",,,
"80",":Puerto","full","","SDPDOR7B-eno52","","activo","","CH-SW-02-LRY_Ethernet1/10","SDPDOR7B","","LNK:CH-SW-02-LRY:Ethernet1/10__SDPDOR7B","","access","","","CH-SW-02-LRY","Ethernet1/10","","SDPDOR7B","","","","físico","","","658",,,
"81",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/11","","","","","","","","CH-SW-02-LRY","Ethernet1/11","","","","","","físico","","","",,,
"82",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/12","","","","","","","","CH-SW-02-LRY","Ethernet1/12","","","","","","físico","","","",,,
"83",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/13","","","","","","","","CH-SW-02-LRY","Ethernet1/13","","","","","","físico","","","",,,
"84",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/14","","","","","","","","CH-SW-02-LRY","Ethernet1/14","","","","","","físico","","","",,,
"85",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/15","","","","","","","","CH-SW-02-LRY","Ethernet1/15","","","","","","físico","","","",,,
"86",":Puerto","","","Conexion a AIRDOR9 / Payload","","activo","","CH-SW-02-LRY_Ethernet1/16","AIRDOR9","","LNK:AIRDOR9__CH-SW-02-LRY:Ethernet1/16","","access","","","CH-SW-02-LRY","Ethernet1/16","","AIRDOR9","","","","físico","","","655",,,
